(S, A0)    (A, A1)    (E, A3)    (G, A4)    (C, A2)    (I, A5)    (J, A6)    (N, A7)    (Q, A8)    (U, A9)    (V, A10)   null       null       null       (M, A11)   null       null       
null       (A, A13)   (A, A12)   null       null       null       null       null       null       null       null       null       null       null       null       null       (B, A14)   
null       null       null       null       (D, A16)   null       null       null       null       null       null       (C, A15)   null       null       null       null       null       
null       null       (E, A17)   null       null       null       null       null       null       null       null       null       null       null       null       null       (F, A18)   
null       null       null       null       null       null       null       (H, A19)   null       null       null       null       null       null       null       null       (NN, A20)   
null       null       null       null       null       (T, A21)   null       null       null       null       null       null       null       null       null       null       null       
null       null       null       null       null       null       (L, A22)   null       null       null       null       null       null       null       null       null       null       
null       null       null       null       null       null       null       (O, A23)   null       null       null       null       null       null       null       null       (K, A24)   
null       null       null       null       null       null       null       (R, A25)   null       null       null       null       null       null       null       null       null       
null       null       null       null       null       null       null       null       null       null       null       null       null       null       null       (Y, A26)   null       
null       null       null       null       null       null       null       null       null       null       null       null       (Y, A27)   null       null       (Z, A28)   null       
null       null       null       null       null       null       null       null       null       (S, A31)   null       null       null       (Y, A29)   null       (Z, A30)   null       
